"","genus","virus","accession","metadata_host","host_category","prediction","bird","camelid","carnivore","human","rodent","swine","yangochiroptera","yinpterochiroptera"
"1","Gammacoronavirus","Avian coronavirus","MN262644.1","chicken","bird","bird",0.8631,0.00333,0.03392,0.00625,0.01015,0.00295,0.02187,0.05843
"2","Gammacoronavirus","Avian coronavirus","MG913343.1","Gallus gallus","bird","bird",0.92418,0.00353,0.01922,0.00507,0.00142,0.00495,0.01583,0.0258
"3","Gammacoronavirus","Avian coronavirus","MG913342.1","Gallus gallus","bird","bird",0.96045,0.00067,0.01068,0.004,0.00142,0.00275,0.01143,0.0086
"4","Gammacoronavirus","Avian coronavirus","KX258195.1","Gallus gallus","bird","bird",0.93603,0.001,0.01338,0.00667,0.00157,5e-04,0.02272,0.01813
"5","Deltacoronavirus","Bulbul coronavirus HKU11-796","FJ376620.1","Chinese bulbul","bird","bird",0.85955,0.01067,0.02752,0.00333,0.00325,0.00827,0.04215,0.04527
"6","Deltacoronavirus","Bulbul coronavirus HKU11-934","NC_011547.1","red-whiskered bulbul","bird","bird",0.77275,0.00922,0.0385,0.0106,0.00067,0.01983,0.07635,0.07208
"7","Deltacoronavirus","Bulbul coronavirus HKU11-934","FJ376619.2","red-whiskered bulbul","bird","bird",0.77275,0.00922,0.0385,0.0106,0.00067,0.01983,0.07635,0.07208
"8","Gammacoronavirus","Canada goose coronavirus","NC_046965.1","Branta canadensis","bird","yangochiroptera",0.0877,0.06935,0.0438,0.15337,0.07865,0.13682,0.26107,0.16925
"9","Gammacoronavirus","Canada goose coronavirus","MK359255.1","Branta canadensis","bird","yangochiroptera",0.0877,0.06935,0.0438,0.15337,0.07865,0.13682,0.26107,0.16925
"10","Deltacoronavirus","Common moorhen coronavirus HKU21","NC_016996.1","common moorhen","bird","human",0.2076,0.12387,0.06758,0.30118,0.00612,0.07602,0.10532,0.11232
"11","Deltacoronavirus","Common moorhen coronavirus HKU21","JQ065049.1","common moorhen","bird","human",0.2076,0.12387,0.06758,0.30118,0.00612,0.07602,0.10532,0.11232
"12","Gammacoronavirus","Duck coronavirus","KM454473.1","duck","bird","bird",0.3599,0.08398,0.0743,0.02952,0.03543,0.03205,0.22892,0.1559
"13","Gammacoronavirus","Duck coronavirus","JF705860.1","duck","bird","bird",0.85928,0.01013,0.03157,0.0066,0.0031,0.01818,0.03338,0.03775
"14","Gammacoronavirus","European turkey coronavirus 080385d","KR822424.1","turkey","bird","bird",0.95962,0.00033,0.00775,0,0.0088,0.00025,0.0102,0.01305
"15","unclassified","Falcon coronavirus UAE-HKU27","LC364342.1","Falco","bird","bird",0.92973,0.00183,0.00617,4e-04,0.00125,0.0095,0.01303,0.03808
"16","unclassified","Houbara coronavirus UAE-HKU28","LC364343.1","Chlamydotis","bird","bird",0.86997,5e-04,0.03248,0,5e-04,0.01572,0.01817,0.06267
"17","Gammacoronavirus","Infectious bronchitis virus","KX302873.1","Gallus gallus","bird","bird",0.77633,0.004,0.08323,0.00678,0.01878,0.0318,0.02608,0.05298
"18","Gammacoronavirus","Infectious bronchitis virus","KX185059.1","Gallus gallus","bird","bird",0.68825,0.02873,0.07605,0.02523,0.0127,0.04508,0.05568,0.06827
"19","Gammacoronavirus","Infectious bronchitis virus","KP790145.1","Gallus gallus","bird","bird",0.78058,0.006,0.0851,0.0042,0.0072,0.0279,0.02153,0.06748
